year,region,scenario,solar_generation_twh,wind_generation_twh,coal_generation_twh,gas_generation_twh,total_generation_twh,swb_generation_twh,swb_share_pct,solar_lcoe_per_mwh,wind_lcoe_per_mwh,battery_scoe_per_mwh,swb_stack_cost_per_mwh,coal_lcoe_per_mwh,gas_lcoe_per_mwh,swb_coal_cost_advantage,swb_gas_cost_advantage,tipping_vs_coal_year,tipping_vs_gas_year,coal_co2_emissions_mt,gas_co2_emissions_mt,swb_co2_emissions_mt,total_co2_emissions_mt
2020,Global,baseline,666.5675376262129,444.3783584174753,2342.4890710693,19971.455743580012,23424.890710693,1110.9458960436882,4.742587317756677,0.0600861358,0.039882,0.15772727272727272,0.0748396188090909,100,100,99.9251603811909,99.9251603811909,2020,2020,2.3424890710693,8.987155084611006,0.031661958037245114,11.361306113717552
2021,Global,baseline,933.5339901730437,622.3559934486958,2470.711553333,20680.513996375263,24707.11553333,1555.8899836217395,6.297335605699652,0.0521325239,0.035502,0.14272727272727273,0.0662914128590909,100,100,99.93370858714091,99.93370858714091,2020,2020,2.4707115533330004,9.306231298368868,0.044342864533219575,11.821285716235089
2022,Global,baseline,1270.5489030213341,847.0326020142228,2546.0055935427004,20796.468836848744,25460.055935427,2117.581505035557,8.317269649392237,0.0504954202,0.033652,0.14454545454545453,0.06476508828181818,100,100,99.93523491171818,99.93523491171818,2020,2020,2.5460055935427,9.358410976581935,0.060351072893513366,11.964767643018149
2023,Global,baseline,1710.3819328327215,1140.254621888481,2612.9419019551,20665.840562874695,26129.419019551,2850.6365547212026,10.90968211956129,0.044247408,0.032578,0.12954545454545455,0.05882186218181818,100,100,99.94117813781818,99.94117813781818,2020,2020,2.6129419019551,9.299628253293612,0.08124314180955428,11.993813297058267
2024,Global,baseline,2312.160851809086,1541.4405678727244,2716.6531477118,20596.276909724387,27166.531477118,3853.6014196818105,14.185106490048781,0.043,0.034,0.1159090909090909,0.05690636363636363,100,100,99.94309363636364,99.94309363636364,2020,2020,2.7166531477118,9.268324609375973,0.10982764046093159,12.094805397548704
2025,Global,baseline,3032.9916656456526,2021.9944437637687,2770.986210666036,19883.889786584903,27709.86210666036,5054.986109409421,18.242552380635637,0.03956,0.0323,0.10431818181818182,0.05254672727272727,100,100,99.94745327272727,99.94745327272727,2020,2020,2.7709862106660363,8.947750403963207,0.1440671041181685,11.862803718747411
2026,Global,baseline,3925.4575541751633,2616.9717027834427,2826.4059348793567,18895.224156955606,28264.059348793566,6542.429256958606,23.147521650098238,0.036395199999999996,0.030685,0.09388636363636364,0.04854360454545454,100,100,99.95145639545454,99.95145639545454,2020,2020,2.8264059348793564,8.502850870630022,0.18645923382332028,11.515716039332698
2027,Global,baseline,4999.881132514375,3333.254088342917,2882.9340535769443,17613.2712613352,28829.34053576944,8333.135220857292,28.905049737499606,0.033483584,0.02915075,0.08449772727272728,0.044866348590909086,100,100,99.95513365140908,99.95513365140908,2020,2020,2.8829340535769443,7.92597206760084,0.2374943537944328,11.046400474972218
2028,Global,baseline,6251.882948885596,4167.921965923731,2940.5927346484827,16045.529697027017,29405.927346484827,10419.804914809327,35.43436937742045,0.03080489728,0.027693212499999998,0.07604795454545454,0.04148704444681818,100,100,99.95851295555318,99.95851295555318,2020,2020,2.940592734648483,7.220488363662158,0.2969644400720658,10.458045538382706
2029,Global,baseline,7658.514408622246,5105.676272414832,2999.4045893414523,14230.450623035988,29994.04589341452,12764.190681037078,42.555748318834105,0.028340505497600005,0.026308551874999996,0.0684431590909091,0.038380259106186365,100,100,99.96161974089381,99.96161974089381,2020,2020,2.9994045893414523,6.403702780366195,0.36377943440955673,9.766886804117204
2030,Global,baseline,9178.178043384843,6118.7853622565635,3059.3926811282818,12237.570724513125,30593.926811282814,15296.963405641407,50.0,0.026073265057792002,0.024993124281249994,0.061598843181818186,0.03552281487523123,100,100,99.96447718512476,99.96447718512476,2020,2020,3.0593926811282817,5.506906826030907,0.4359634570607801,9.002262964219968
2031,Global,baseline,10755.564817774497,7170.376545182999,3120.580534750847,10159.28344980013,31205.80534750847,17925.941362957496,57.4442516811659,0.023987403853168648,0.023743468067187492,0.055438958863636374,0.032893583831739154,100,100,99.96710641616826,99.96710641616826,2020,2020,3.120580534750847,4.571677552410058,0.5108893288442886,8.203147416005194
2032,Global,baseline,12330.713708245778,8220.475805497186,3182.9921454458645,8095.739795269815,31829.921454458643,20551.189513742964,64.56563062257953,0.022068411544915154,0.02255629466382812,0.04989506297727274,0.03047330139087739,100,100,99.96952669860912,99.96952669860912,2020,2020,3.1829921454458647,3.643082907871417,0.5857089011416745,7.411783954458956
2033,Global,baseline,13849.23369790387,9232.822465269248,3246.6519883547817,6137.811732019915,32466.519883547815,23082.056163173118,71.09495026250039,0.02030293862132194,0.02142847993063671,0.04490555667954547,0.028244397175830244,100,100,99.97175560282417,99.97175560282417,2020,2020,3.2466519883547815,2.762015279408962,0.6578386006504339,6.666505868414178
2034,Global,baseline,14902.132626548448,9934.755084365634,3311.5850281218773,4967.377542182816,33115.85028121877,24836.88771091408,75.0,0.018678703531616186,0.020357055934104876,0.04041500101159092,0.026190841562622313,100,100,99.97380915843738,99.97380915843738,2020,2020,3.3115850281218773,2.235319893982267,0.7078512997610513,6.254756221865195
2035,Global,baseline,15200.175279079416,10133.450186052945,3377.816728684315,5066.725093026473,33778.16728684315,25333.62546513236,75.0,0.017184407249086896,0.01933920313739963,0.03637350091043183,0.024298006423930023,100,100,99.97570199357607,99.97570199357607,2020,2020,3.377816728684315,2.2800262918619127,0.7220083257562723,6.3798513463025
2036,Global,baseline,15504.178784661004,10336.119189774005,3445.373063258001,5168.059594887001,34453.73063258001,25840.29797443501,75.0,0.015809654669159942,0.018372242980529647,0.032736150819388646,0.02255253873716898,100,100,99.97744746126283,99.97744746126283,2020,2020,3.445373063258001,2.325626817699151,0.7364484922713977,6.50744837322855
2037,Global,baseline,15814.262360354225,10542.841573569485,3514.280524523161,5271.420786784742,35142.80524523161,26357.10393392371,75.0,0.01454488229562715,0.017453630831503166,0.02946253573744978,0.02094224584912772,100,100,99.97905775415087,99.97905775415087,2020,2020,3.514280524523161,2.3721393540531337,0.7511774621168258,6.63759734069312
2038,Global,baseline,16130.54760756131,10753.698405040874,3584.5661350136247,5376.849202520436,35845.661350136244,26884.246012602183,75.0,0.013381291711976977,0.016580949289928006,0.026516282163704805,0.01945599130420605,100,100,99.98054400869579,99.98054400869579,2020,2020,3.5845661350136244,2.419582141134196,0.7662010113591623,6.770349287506982
2039,Global,baseline,16453.158559712538,10968.772373141692,3656.257457713897,5484.386186570846,36562.57457713897,27421.93093285423,75.0,0.012310788375018821,0.015751901825431604,0.023864653947334325,0.01808360024708831,100,100,99.98191639975292,99.98191639975292,2020,2020,3.6562574577138975,2.4679737839568805,0.7815250315863456,6.905756273257123
2040,Global,baseline,16782.22173090679,11188.147820604527,3729.3826068681756,5594.073910302262,37293.82606868175,27970.369551511314,75.0,0.011325925305017316,0.014964306734160023,0.023181818181818182,0.017071317948886198,100,100,99.98292868205111,99.98292868205111,2020,2020,3.729382606868176,2.517333259636018,0.7971555322180724,7.043871398722266
